time,id,name,artists,link,playlist
2022-04-17T10:33:00,7hU3IHwjX150XLoTVmjD0q,MONEY,LISA,https://open.spotify.com/track/7hU3IHwjX150XLoTVmjD0q,https://open.spotify.com/playlist/37i9dQZF1DXcBWIGoYBM5M
2022-04-17T10:30:12,531KGXtBroSrOX9LVmiIgc,Starlight,Dave,https://open.spotify.com/track/531KGXtBroSrOX9LVmiIgc,https://open.spotify.com/playlist/37i9dQZF1DXcBWIGoYBM5M
2022-04-17T10:26:40,4VtRHZ4tBDHaWltVAytlLY,Go,Cat Burns,https://open.spotify.com/track/4VtRHZ4tBDHaWltVAytlLY,https://open.spotify.com/playlist/37i9dQZF1DXcBWIGoYBM5M
2022-04-17T10:23:04,3yMC1KsTwh0ceXdIe4QQAQ,Fingers Crossed,Lauren Spencer-Smith,https://open.spotify.com/track/3yMC1KsTwh0ceXdIe4QQAQ,https://open.spotify.com/playlist/37i9dQZF1DXcBWIGoYBM5M
2022-04-17T10:20:08,6Jrdb6CFOJEGaHjaa6c4WR,IDGAF (with blackbear),BoyWithUke;blackbear,https://open.spotify.com/track/6Jrdb6CFOJEGaHjaa6c4WR,https://open.spotify.com/playlist/37i9dQZF1DXcBWIGoYBM5M
2022-04-17T10:17:47,6mmPpaltUZK7xjNlBPQQ0p,Desesperados,Rauw Alejandro;Chencho Corleone,https://open.spotify.com/track/6mmPpaltUZK7xjNlBPQQ0p,https://open.spotify.com/playlist/37i9dQZF1DXcBWIGoYBM5M
2022-04-17T10:14:01,5vUnjhBzRJJIAOJPde6zDx,TO THE MOON,Jnr Choi;Sam Tompkins,https://open.spotify.com/track/5vUnjhBzRJJIAOJPde6zDx,https://open.spotify.com/playlist/37i9dQZF1DXcBWIGoYBM5M
2022-04-17T10:11:29,6LtHYDgYHRCHoKK3snfr2w,I’m Tired (with Zendaya) - Bonus Track,Labrinth;Zendaya,https://open.spotify.com/track/6LtHYDgYHRCHoKK3snfr2w,https://open.spotify.com/playlist/37i9dQZF1DXcBWIGoYBM5M
2022-04-17T10:08:20,3o9kpgkIcffx0iSwxhuNI2,Numb Little Bug,Em Beihold,https://open.spotify.com/track/3o9kpgkIcffx0iSwxhuNI2,https://open.spotify.com/playlist/37i9dQZF1DXcBWIGoYBM5M
2022-04-17T10:05:31,3Kkjo3cT83cw09VJyrLNwX,Oh My God,Adele,https://open.spotify.com/track/3Kkjo3cT83cw09VJyrLNwX,https://open.spotify.com/playlist/37i9dQZF1DXcBWIGoYBM5M
2022-04-17T10:01:45,5fwSHlTEWpluwOM0Sxnh5k,Pepas,Farruko,https://open.spotify.com/track/5fwSHlTEWpluwOM0Sxnh5k,https://open.spotify.com/playlist/37i9dQZF1DXcBWIGoYBM5M
2022-04-17T09:56:57,6f5ExP43esnvdKPddwKXJH,Better Days (NEIKED x Mae Muller x Polo G),NEIKED;Mae Muller;Polo G,https://open.spotify.com/track/6f5ExP43esnvdKPddwKXJH,https://open.spotify.com/playlist/37i9dQZF1DXcBWIGoYBM5M
2022-04-17T09:54:16,62Yo3FDddWY8ydu6PW2wyz,Nail Tech,Jack Harlow,https://open.spotify.com/track/62Yo3FDddWY8ydu6PW2wyz,https://open.spotify.com/playlist/37i9dQZF1DXcBWIGoYBM5M
2022-04-17T09:50:49,4ZtFanR9U6ndgddUvNcjcG,good 4 u,Olivia Rodrigo,https://open.spotify.com/track/4ZtFanR9U6ndgddUvNcjcG,https://open.spotify.com/playlist/37i9dQZF1DXcBWIGoYBM5M
2022-04-17T09:47:51,1ri9ZUkBJVFUdgwzCnfcYs,MAMIII,Becky G;KAROL G,https://open.spotify.com/track/1ri9ZUkBJVFUdgwzCnfcYs,https://open.spotify.com/playlist/37i9dQZF1DXcBWIGoYBM5M
2022-04-17T09:44:04,00Blm7zeNqgYLPtW6zg8cj,One Right Now (with The Weeknd),Post Malone;The Weeknd,https://open.spotify.com/track/00Blm7zeNqgYLPtW6zg8cj,https://open.spotify.com/playlist/37i9dQZF1DXcBWIGoYBM5M
2022-04-17T09:40:50,32BeYxKPrig1LefHsC0Xuo,Happier Than Ever - Edit,Billie Eilish,https://open.spotify.com/track/32BeYxKPrig1LefHsC0Xuo,https://open.spotify.com/playlist/37i9dQZF1DXcBWIGoYBM5M
2022-04-17T09:38:18,6ws54n2IzyrIxxyzlG2bVJ,Right On,Lil Baby,https://open.spotify.com/track/6ws54n2IzyrIxxyzlG2bVJ,https://open.spotify.com/playlist/37i9dQZF1DXcBWIGoYBM5M
2022-04-17T09:34:43,3Vi5XqYrmQgOYBajMWSvCi,Need to Know,Doja Cat,https://open.spotify.com/track/3Vi5XqYrmQgOYBajMWSvCi,https://open.spotify.com/playlist/37i9dQZF1DXcBWIGoYBM5M
2022-04-17T09:31:12,0HqZX76SFLDz2aW8aiqi7G,Bones,Imagine Dragons,https://open.spotify.com/track/0HqZX76SFLDz2aW8aiqi7G,https://open.spotify.com/playlist/37i9dQZF1DXcBWIGoYBM5M
2022-04-17T09:28:27,46HNZY1i7O6jwTA7Slo2PI,My Universe,Coldplay;BTS,https://open.spotify.com/track/46HNZY1i7O6jwTA7Slo2PI,https://open.spotify.com/playlist/37i9dQZF1DXcBWIGoYBM5M
2022-04-17T09:2,3rmo8F54jFF8OgYsqTxm5d,Bad Habits,Ed Sheeran,https://open.spotify.com/track/3rmo8F54jFF8OgYsqTxm5d,https://open.spotify.com/playlist/37i9dQZF1DXcBWIGoYBM5M
2022-04-17T09:20:48,0gplL1WMoJ6iYaPgMCL0gX,Easy On Me,Adele,https://open.spotify.com/track/0gplL1WMoJ6iYaPgMCL0gX,https://open.spotify.com/playlist/37i9dQZF1DXcBWIGoYBM5M
2022-04-17T09:17:03,1SOClUWhOi8vHZYMz3GluK,Infinity,Jaymes Young,https://open.spotify.com/track/1SOClUWhOi8vHZYMz3GluK,https://open.spotify.com/playlist/37i9dQZF1DXcBWIGoYBM5M
2022-04-17T09:13:05,2gpQi3hbcUAcEG8m2dlgfB,Plan A,Paulo Londra,https://open.spotify.com/track/2gpQi3hbcUAcEG8m2dlgfB,https://open.spotify.com/playlist/37i9dQZF1DXcBWIGoYBM5M
2022-04-17T09:10:07,2Xr1dTzJee307rmrkt8c0g,love nwantiti (ah ah ah),CKay,https://open.spotify.com/track/2Xr1dTzJee307rmrkt8c0g,https://open.spotify.com/playlist/37i9dQZF1DXcBWIGoYBM5M
2022-04-17T09:07:40,7mFj0LlWtEJaEigguaWqYh,Sweetest Pie,Megan Thee Stallion;Dua Lipa,https://open.spotify.com/track/7mFj0LlWtEJaEigguaWqYh,https://open.spotify.com/playlist/37i9dQZF1DXcBWIGoYBM5M
2022-04-17T09:04:18,705dwKmZCd7ImAUyyD6Mpm,psychofreak (feat. WILLOW),Camila Cabello;WILLOW,https://open.spotify.com/track/705dwKmZCd7ImAUyyD6Mpm,https://open.spotify.com/playlist/37i9dQZF1DXcBWIGoYBM5M
2022-04-17T09:00:57,0IuVhCflrQPMGRrOyoY5RW,she's all i wanna be,Tate McRae,https://open.spotify.com/track/0IuVhCflrQPMGRrOyoY5RW,https://open.spotify.com/playlist/37i9dQZF1DXcBWIGoYBM5M
2022-04-17T08:57:29,4fouWK6XVHhzl78KzQ1UjL,abcdefu,GAYLE,https://open.spotify.com/track/4fouWK6XVHhzl78KzQ1UjL,https://open.spotify.com/playlist/37i9dQZF1DXcBWIGoYBM5M
2022-04-17T08:54:41,18asYwWugKjjsihZ0YvRxO,The Motto,Tiësto;Ava Max,https://open.spotify.com/track/18asYwWugKjjsihZ0YvRxO,https://open.spotify.com/playlist/37i9dQZF1DXcBWIGoYBM5M
2022-04-17T08:51:55,1HvTxgCj0mTzQlEo0zLvFb,In My Head,Lil Tjay,https://open.spotify.com/track/1HvTxgCj0mTzQlEo0zLvFb,https://open.spotify.com/playlist/37i9dQZF1DXcBWIGoYBM5M
2022-04-17T08:49:39,1BSMpVGWs3v5BZKnAQziAc,Light Switch,Charlie Puth,https://open.spotify.com/track/1BSMpVGWs3v5BZKnAQziAc,https://open.spotify.com/playlist/37i9dQZF1DXcBWIGoYBM5M
2022-04-17T08:46:33,27NovPIUIRrOZoCHxABJwK,INDUSTRY BABY (feat. Jack Harlow),Lil Nas X;Jack Harlow,https://open.spotify.com/track/27NovPIUIRrOZoCHxABJwK,https://open.spotify.com/playlist/37i9dQZF1DXcBWIGoYBM5M
2022-04-17T08:43:00,58HvfVOeJY7lUuCqF0m3ly,MIDDLE OF THE NIGHT,Elley Duhé,https://open.spotify.com/track/58HvfVOeJY7lUuCqF0m3ly,https://open.spotify.com/playlist/37i9dQZF1DXcBWIGoYBM5M
2022-04-17T08:39:55,6zSpb8dQRaw0M1dK8PBwQz,Cold Heart - PNAU Remix,Elton John;Dua Lipa;PNAU,https://open.spotify.com/track/6zSpb8dQRaw0M1dK8PBwQz,https://open.spotify.com/playlist/37i9dQZF1DXcBWIGoYBM5M
2022-04-17T08:36:33,3IAfUEeaXRX9s9UdKOJrFI,Envolver,Anitta,https://open.spotify.com/track/3IAfUEeaXRX9s9UdKOJrFI,https://open.spotify.com/playlist/37i9dQZF1DXcBWIGoYBM5M
2022-04-17T08:33:18,3uUuGVFu1V7jTQL60S1r8z,Where Are You Now,Lost Frequencies;Calum Scott,https://open.spotify.com/track/3uUuGVFu1V7jTQL60S1r8z,https://open.spotify.com/playlist/37i9dQZF1DXcBWIGoYBM5M
2022-04-17T08:30:50,50nfwKoDiSYg8zOCREWAm5,Shivers,Ed Sheeran,https://open.spotify.com/track/50nfwKoDiSYg8zOCREWAm5,https://open.spotify.com/playlist/37i9dQZF1DXcBWIGoYBM5M
2022-04-17T08:27:21,1r9xUipOqoNwggBpENDsvJ,Enemy (with JID) - from the series Arcane League of Legends,Imagine Dragons;JID;Arcane;League of Legends,https://open.spotify.com/track/1r9xUipOqoNwggBpENDsvJ,https://open.spotify.com/playlist/37i9dQZF1DXcBWIGoYBM5M
2022-04-17T08:24:27,5HCyWlXZPP0y6Gqq8TgA20,STAY (with Justin Bieber),The Kid LAROI;Justin Bieber,https://open.spotify.com/track/5HCyWlXZPP0y6Gqq8TgA20,https://open.spotify.com/playlist/37i9dQZF1DXcBWIGoYBM5M
2022-04-17T08:22:04,6Uj1ctrBOjOas8xZXGqKk4,Woman,Doja Cat,https://open.spotify.com/track/6Uj1ctrBOjOas8xZXGqKk4,https://open.spotify.com/playlist/37i9dQZF1DXcBWIGoYBM5M
2022-04-17T08:19:12,59CfNbkERJ3NoTXDvoURjj,Boyfriend,Dove Cameron,https://open.spotify.com/track/59CfNbkERJ3NoTXDvoURjj,https://open.spotify.com/playlist/37i9dQZF1DXcBWIGoYBM5M
2022-04-17T08:16:38,0U1W2LZVUX7qTm7dDpqxh6,When You're Gone,Shawn Mendes,https://open.spotify.com/track/0U1W2LZVUX7qTm7dDpqxh6,https://open.spotify.com/playlist/37i9dQZF1DXcBWIGoYBM5M
2022-04-17T08:13:46,3USxtqRwSYz57Ewm6wWRMp,Heat Waves,Glass Animals,https://open.spotify.com/track/3USxtqRwSYz57Ewm6wWRMp,https://open.spotify.com/playlist/37i9dQZF1DXcBWIGoYBM5M
2022-04-17T08:09:46,0e8nrvls4Qqv5Rfa2UhqmO,THATS WHAT I WANT,Lil Nas X,https://open.spotify.com/track/0e8nrvls4Qqv5Rfa2UhqmO,https://open.spotify.com/playlist/37i9dQZF1DXcBWIGoYBM5M
2022-04-17T08:07:22,0QBzMgT7NIeoCYy3sJCof1,Bam Bam (feat. Ed Sheeran),Camila Cabello;Ed Sheeran,https://open.spotify.com/track/0QBzMgT7NIeoCYy3sJCof1,https://open.spotify.com/playlist/37i9dQZF1DXcBWIGoYBM5M
2022-04-17T08:03:55,5dPz35akJjPqb17yeqNwqH,Ghost,Justin Bieber,https://open.spotify.com/track/5dPz35akJjPqb17yeqNwqH,https://open.spotify.com/playlist/37i9dQZF1DXcBWIGoYBM5M
2022-04-17T08:01:21,4LRPiXqCikLlN15c3yImP7,As It Was,Harry Styles,https://open.spotify.com/track/4LRPiXqCikLlN15c3yImP7,https://open.spotify.com/playlist/37i9dQZF1DXcBWIGoYBM5M
2022-04-17T07:58:33,1rDQ4oMwGJI7B4tovsBOxc,First Class,Jack Harlow,https://open.spotify.com/track/1rDQ4oMwGJI7B4tovsBOxc,https://open.spotify.com/playlist/37i9dQZF1DXcBWIGoYBM5M
